Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,18
design__inferred_latch__count,0
design__instance__count,31229
design__instance__area,308836.198400
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,5794
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,226
design__max_cap_violation__count__corner:nom_tt_025C_1v80,17
power__internal__total,0.04321792349219322
power__switching__total,0.04242655634880066
power__leakage__total,3.9896994508126227E-7
power__total,0.08564488589763641
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-1.099016908586121
clock__skew__worst_setup__corner:nom_tt_025C_1v80,1.099016908586121
timing__hold__ws__corner:nom_tt_025C_1v80,0.18511401269140385
timing__setup__ws__corner:nom_tt_025C_1v80,10.756823292124444
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.185114
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,10.756824
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,7229
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,226
design__max_cap_violation__count__corner:nom_ss_100C_1v60,17
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-1.5312942458582297
clock__skew__worst_setup__corner:nom_ss_100C_1v60,1.5312942458582297
timing__hold__ws__corner:nom_ss_100C_1v60,0.527670477803366
timing__setup__ws__corner:nom_ss_100C_1v60,1.8952502326194858
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.597752
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,1.895250
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,5732
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,226
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,17
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.910608059175777
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.910608059175777
timing__hold__ws__corner:nom_ff_n40C_1v95,0.03144187776910447
timing__setup__ws__corner:nom_ff_n40C_1v95,14.060332851533534
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.031442
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,14.060333
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,7229
design__max_fanout_violation__count,226
design__max_cap_violation__count,17
clock__skew__worst_hold,-0.910608059175777
clock__skew__worst_setup,0.910608059175777
timing__hold__ws,0.03144187776910447
timing__setup__ws,1.8952502326194858
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.031442
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,1.895250
timing__setup_r2r_vio__count,0
