Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,16
design__inferred_latch__count,0
design__instance__count,32071
design__instance__area,308647.267200
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,5917
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,241
design__max_cap_violation__count__corner:nom_tt_025C_1v80,16
power__internal__total,0.07055918872356415
power__switching__total,0.06896404922008514
power__leakage__total,3.3978110991483845E-7
power__total,0.13952358067035675
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-1.099016908586121
clock__skew__worst_setup__corner:nom_tt_025C_1v80,1.099016908586121
timing__hold__ws__corner:nom_tt_025C_1v80,0.21959565343232673
timing__setup__ws__corner:nom_tt_025C_1v80,0.48129412928480875
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.219596
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,0.481294
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,7491
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,241
design__max_cap_violation__count__corner:nom_ss_100C_1v60,15
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-1.5312942458582297
clock__skew__worst_setup__corner:nom_ss_100C_1v60,1.5312942458582297
timing__hold__ws__corner:nom_ss_100C_1v60,0.5152894368160401
timing__setup__ws__corner:nom_ss_100C_1v60,-8.313826307157198
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-2722.7348115657264
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-8.313826307157198
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.700796
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,433
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-8.313827
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,433
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,5864
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,241
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,18
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.910608059175777
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.910608059175777
timing__hold__ws__corner:nom_ff_n40C_1v95,0.04966210916401425
timing__setup__ws__corner:nom_ff_n40C_1v95,3.9176405450795526
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.049662
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,3.917640
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,7491
design__max_fanout_violation__count,241
design__max_cap_violation__count,18
clock__skew__worst_hold,-0.910608059175777
clock__skew__worst_setup,0.910608059175777
timing__hold__ws,0.04966210916401425
timing__setup__ws,-8.313826307157198
timing__hold__tns,0.0
timing__setup__tns,-2722.7348115657264
timing__hold__wns,0
timing__setup__wns,-8.313826307157198
timing__hold_vio__count,0
timing__hold_r2r__ws,0.049662
timing__hold_r2r_vio__count,0
timing__setup_vio__count,433
timing__setup_r2r__ws,-8.313827
timing__setup_r2r_vio__count,433
