RISC-V Core AXI Test Log
Simulation Start:                    0

Cycle      0: PC=0xxxxxxxxx, Instr=0xxxxxxxxx, ALU=0xxxxxxxxx, Stall=x
Cycle      2: PC=0xxxxxxxxx, Instr=0xxxxxxxxx, ALU=0xxxxxxxxx, Stall=x
Cycle      2: PC=0xxxxxxxxx, Instr=0xxxxxxxxx, ALU=0xxxxxxxxx, Stall=1
Cycle      4: PC=0xxxxxxxxx, Instr=0xxxxxxxxx, ALU=0xxxxxxxxx, Stall=1
Cycle      4: PC=0xxxxxxxxx, Instr=0xxxxxxxxx, ALU=0xxxxxxxxx, Stall=1
Cycle      1: PC=0x00000000, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle      1: PC=0x00000000, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle      3: PC=0x00000000, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle      3: PC=0x00000000, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle      5: PC=0x00000000, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle      5: PC=0x00000000, Instr=0x00000093, ALU=0x00000000, Stall=0
Cycle      7: PC=0x00000004, Instr=0x00000093, ALU=0x00000000, Stall=1
Cycle      7: PC=0x00000004, Instr=0x00000093, ALU=0x00000000, Stall=1
Cycle      9: PC=0x00000004, Instr=0x00000093, ALU=0x00000000, Stall=1
Cycle      9: PC=0x00000004, Instr=0x00000093, ALU=0x00000000, Stall=1
Cycle      1: PC=0x00000000, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle      1: PC=0x00000000, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle      3: PC=0x00000000, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle      3: PC=0x00000000, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle      5: PC=0x00000000, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle      5: PC=0x00000000, Instr=0x00000093, ALU=0x00000000, Stall=0
Cycle      7: PC=0x00000004, Instr=0x00000093, ALU=0x00000000, Stall=1
Cycle      7: PC=0x00000004, Instr=0x00000093, ALU=0x00000000, Stall=1
Cycle      9: PC=0x00000004, Instr=0x00000093, ALU=0x00000000, Stall=1
