Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_80,VPWR,li1,42.5500,35.3600,1.799914
FILLER_9_57,VPWR,li1,32.4300,35.3600,1.799932
FILLER_9_53,VPWR,li1,30.5900,35.3600,1.799938
FILLER_9_41,VPWR,li1,27.1400,35.3600,1.799949
FILLER_9_29,VPWR,li1,21.6200,35.3600,1.799967
FILLER_9_27,VPWR,li1,18.1700,35.3600,1.799967
FILLER_9_15,VPWR,li1,15.1800,35.3600,1.799967
FILLER_9_3,VPWR,li1,9.6600,35.3600,1.799967
FILLER_8_77,VPWR,li1,41.8600,35.3600,1.799914
FILLER_8_65,VPWR,li1,38.1800,35.3600,1.799914
FILLER_8_53,VPWR,li1,32.6600,35.3600,1.799932
FILLER_8_41,VPWR,li1,27.1400,35.3600,1.799949
FILLER_8_29,VPWR,li1,21.6200,35.3600,1.799967
FILLER_8_27,VPWR,li1,18.1700,35.3600,1.799967
FILLER_8_15,VPWR,li1,15.1800,35.3600,1.799967
FILLER_8_3,VPWR,li1,9.6600,35.3600,1.799967
FILLER_7_69,VPWR,li1,40.0200,29.9200,1.799981
FILLER_7_57,VPWR,li1,34.5000,29.9200,1.799985
FILLER_7_55,VPWR,li1,31.0500,29.9200,1.799988
FILLER_7_51,VPWR,li1,29.9000,29.9200,1.799988
FILLER_7_39,VPWR,li1,26.2200,29.9200,1.799991
FILLER_7_27,VPWR,li1,20.7000,29.9200,1.799993
FILLER_7_15,VPWR,li1,15.1800,29.9200,1.799993
FILLER_7_3,VPWR,li1,9.6600,29.9200,1.799993
FILLER_6_65,VPWR,li1,37.2600,29.9200,1.799983
FILLER_6_53,VPWR,li1,32.6600,29.9200,1.799986
FILLER_6_41,VPWR,li1,27.1400,29.9200,1.799989
FILLER_6_29,VPWR,li1,21.6200,29.9200,1.799993
FILLER_6_26,VPWR,li1,17.9400,29.9200,1.799993
FILLER_6_18,VPWR,li1,15.6400,29.9200,1.799993
FILLER_6_6,VPWR,li1,11.0400,29.9200,1.799993
FILLER_5_79,VPWR,li1,42.3200,24.4800,1.799863
FILLER_5_57,VPWR,li1,32.2000,24.4800,1.799894
FILLER_5_55,VPWR,li1,31.0500,24.4800,1.799894
FILLER_5_47,VPWR,li1,28.9800,24.4800,1.799904
FILLER_5_35,VPWR,li1,24.3800,24.4800,1.799928
FILLER_5_20,VPWR,li1,14.9500,24.4800,1.799945
FILLER_5_12,VPWR,li1,11.2700,24.4800,1.799944
FILLER_5_6,VPWR,li1,9.6600,24.4800,1.799944
FILLER_4_80,VPWR,li1,42.5500,24.4800,1.799863
FILLER_4_59,VPWR,li1,32.8900,24.4800,1.799885
FILLER_4_53,VPWR,li1,31.2800,24.4800,1.799894
FILLER_4_41,VPWR,li1,27.1400,24.4800,1.799914
FILLER_4_29,VPWR,li1,21.6200,24.4800,1.799946
FILLER_4_22,VPWR,li1,17.0200,24.4800,1.799945
FILLER_4_18,VPWR,li1,14.0300,24.4800,1.799945
FILLER_4_6,VPWR,li1,11.0400,24.4800,1.799944
FILLER_3_79,VPWR,li1,42.3200,19.0400,1.799975
FILLER_3_57,VPWR,li1,32.2000,19.0400,1.799980
FILLER_3_55,VPWR,li1,31.0500,19.0400,1.799982
FILLER_3_51,VPWR,li1,29.9000,19.0400,1.799982
FILLER_3_39,VPWR,li1,26.2200,19.0400,1.799987
FILLER_3_27,VPWR,li1,20.7000,19.0400,1.799991
FILLER_3_15,VPWR,li1,15.1800,19.0400,1.799991
FILLER_3_3,VPWR,li1,9.6600,19.0400,1.799991
FILLER_2_77,VPWR,li1,41.1700,19.0400,1.799975
FILLER_2_65,VPWR,li1,38.1800,19.0400,1.799976
FILLER_2_53,VPWR,li1,32.6600,19.0400,1.799980
FILLER_2_41,VPWR,li1,27.1400,19.0400,1.799985
FILLER_2_29,VPWR,li1,21.6200,19.0400,1.799991
FILLER_2_27,VPWR,li1,18.1700,19.0400,1.799991
FILLER_2_15,VPWR,li1,15.1800,19.0400,1.799991
FILLER_2_3,VPWR,li1,9.6600,19.0400,1.799991
FILLER_1_69,VPWR,li1,40.0200,13.6000,1.799912
FILLER_1_57,VPWR,li1,34.5000,13.6000,1.799923
FILLER_1_55,VPWR,li1,31.0500,13.6000,1.799938
FILLER_1_51,VPWR,li1,29.9000,13.6000,1.799938
FILLER_1_39,VPWR,li1,26.2200,13.6000,1.799954
FILLER_1_27,VPWR,li1,20.7000,13.6000,1.799968
FILLER_1_15,VPWR,li1,15.1800,13.6000,1.799968
FILLER_1_3,VPWR,li1,9.6600,13.6000,1.799968
FILLER_0_80,VPWR,li1,42.5500,13.6000,1.799912
FILLER_0_57,VPWR,li1,32.4300,13.6000,1.799930
FILLER_0_53,VPWR,li1,30.5900,13.6000,1.799938
FILLER_0_41,VPWR,li1,27.1400,13.6000,1.799947
FILLER_0_29,VPWR,li1,21.6200,13.6000,1.799968
FILLER_0_27,VPWR,li1,18.1700,13.6000,1.799968
FILLER_0_15,VPWR,li1,15.1800,13.6000,1.799968
FILLER_0_3,VPWR,li1,9.6600,13.6000,1.799968
clkbuf_1_1__f_clk,VPWR,li1,37.7200,35.3600,1.799914
clkbuf_1_0__f_clk,VPWR,li1,37.7200,13.6000,1.799912
clkbuf_0_clk,VPWR,li1,37.7200,24.4800,1.799863
output6,VPWR,li1,40.0200,29.9200,1.799981
output5,VPWR,li1,41.8600,29.9200,1.799981
input4,VPWR,li1,42.0900,19.0400,1.799975
input3,VPWR,li1,7.5900,29.9200,1.799993
input2,VPWR,li1,7.5900,24.4800,1.799944
input1,VPWR,li1,7.5900,24.4800,1.799944
TAP_TAPCELL_ROW_9_31,VPWR,li1,31.5100,35.6660,1.799938
TAP_TAPCELL_ROW_9_30,VPWR,li1,18.6300,35.6660,1.799967
TAP_TAPCELL_ROW_8_29,VPWR,li1,18.6300,35.0530,1.799967
TAP_TAPCELL_ROW_7_28,VPWR,li1,31.5100,30.2260,1.799988
TAP_TAPCELL_ROW_6_27,VPWR,li1,18.6300,29.6130,1.799993
TAP_TAPCELL_ROW_5_26,VPWR,li1,31.5100,24.7860,1.799894
TAP_TAPCELL_ROW_4_25,VPWR,li1,18.6300,24.1730,1.799945
TAP_TAPCELL_ROW_3_24,VPWR,li1,31.5100,19.3460,1.799982
TAP_TAPCELL_ROW_2_23,VPWR,li1,18.6300,18.7330,1.799991
TAP_TAPCELL_ROW_1_22,VPWR,li1,31.5100,13.9060,1.799938
TAP_TAPCELL_ROW_0_21,VPWR,li1,31.5100,13.2930,1.799938
TAP_TAPCELL_ROW_0_20,VPWR,li1,18.6300,13.2930,1.799968
PHY_EDGE_ROW_9_Left_19,VPWR,li1,6.2100,35.3600,1.799967
PHY_EDGE_ROW_8_Left_18,VPWR,li1,6.2100,35.3600,1.799967
PHY_EDGE_ROW_7_Left_17,VPWR,li1,6.2100,29.9200,1.799993
PHY_EDGE_ROW_6_Left_16,VPWR,li1,6.2100,29.9200,1.799993
PHY_EDGE_ROW_5_Left_15,VPWR,li1,6.2100,24.4800,1.799944
PHY_EDGE_ROW_4_Left_14,VPWR,li1,6.2100,24.4800,1.799944
PHY_EDGE_ROW_3_Left_13,VPWR,li1,6.2100,19.0400,1.799991
PHY_EDGE_ROW_2_Left_12,VPWR,li1,6.2100,19.0400,1.799991
PHY_EDGE_ROW_1_Left_11,VPWR,li1,6.2100,13.6000,1.799968
PHY_EDGE_ROW_0_Left_10,VPWR,li1,6.2100,13.6000,1.799968
PHY_EDGE_ROW_9_Right_9,VPWR,li1,43.4700,35.3600,1.799914
PHY_EDGE_ROW_8_Right_8,VPWR,li1,43.4700,35.3600,1.799914
PHY_EDGE_ROW_7_Right_7,VPWR,li1,43.4700,29.9200,1.799981
PHY_EDGE_ROW_6_Right_6,VPWR,li1,43.4700,29.9200,1.799981
PHY_EDGE_ROW_5_Right_5,VPWR,li1,43.4700,24.4800,1.799863
PHY_EDGE_ROW_4_Right_4,VPWR,li1,43.4700,24.4800,1.799863
PHY_EDGE_ROW_3_Right_3,VPWR,li1,43.4700,19.0400,1.799975
PHY_EDGE_ROW_2_Right_2,VPWR,li1,43.4700,19.0400,1.799975
PHY_EDGE_ROW_1_Right_1,VPWR,li1,43.4700,13.6000,1.799912
PHY_EDGE_ROW_0_Right_0,VPWR,li1,43.4700,13.6000,1.799912
_9_,VPWR,li1,37.2600,24.4800,1.799863
_8_,VPWR,li1,37.2600,19.0400,1.799976
_7_,VPWR,li1,18.1700,24.4800,1.799945
