Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,24
design__inferred_latch__count,0
design__instance__count,12213
design__instance__area,173321
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,4859
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,390
design__max_cap_violation__count__corner:nom_tt_025C_1v80,27
power__internal__total,0.020333725959062576
power__switching__total,0.0024184922222048044
power__leakage__total,1.5765384375754365E-7
power__total,0.02275237627327442
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.25
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.25
timing__hold__ws__corner:nom_tt_025C_1v80,0.20767965712759315
timing__setup__ws__corner:nom_tt_025C_1v80,-17.574049379834953
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,-54667.27243397198
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,-17.574049379834953
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.207680
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,3593
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,2.312620
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,9798
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,390
design__max_cap_violation__count__corner:nom_ss_100C_1v60,47
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.25
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.25
timing__hold__ws__corner:nom_ss_100C_1v60,0.6786087439613581
timing__setup__ws__corner:nom_ss_100C_1v60,-32.858971584840084
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-105675.75671859809
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-32.858971584840084
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.678609
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,3744
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-4.271002
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,119
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,4217
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,390
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,24
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.25
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.25
timing__hold__ws__corner:nom_ff_n40C_1v95,0.044401733546688596
timing__setup__ws__corner:nom_ff_n40C_1v95,-10.588660914452984
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,-28804.818517277126
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,-10.588660914452984
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.044402
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,3593
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,6.486547
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,9798
design__max_fanout_violation__count,390
design__max_cap_violation__count,47
clock__skew__worst_hold,-0.25
clock__skew__worst_setup,0.25
timing__hold__ws,0.044401733546688596
timing__setup__ws,-32.858971584840084
timing__hold__tns,0.0
timing__setup__tns,-105675.75671859809
timing__hold__wns,0
timing__setup__wns,-32.858971584840084
timing__hold_vio__count,0
timing__hold_r2r__ws,0.044402
timing__hold_r2r_vio__count,0
timing__setup_vio__count,10930
timing__setup_r2r__ws,-4.271002
timing__setup_r2r_vio__count,119
design__die__bbox,0.0 0.0 450.0 450.0
design__core__bbox,5.52 10.88 444.36 437.92
design__io,395
design__die__area,202500
design__core__area,187402
design__instance__count__stdcell,12213
design__instance__area__stdcell,173321
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.924862
design__instance__utilization__stdcell,0.924862
design__instance__count__class:buffer,1
design__instance__count__class:inverter,105
design__instance__count__class:sequential_cell,3593
design__instance__count__class:multi_input_combinational_cell,8514
flow__warnings__count,2
flow__errors__count,0
